Paper:,https://www.nature.com/articles/s41588-022-01208-7
Gene,Notes
SORL1,
TREM2,
ABCA7,
ATP8B4,
ABCA1,
ADAM10,"According to the ""new insights"" paper ADAM17 regulates ADAM10"
